Weight,Nested,Order,Procedure,TrialID,PicFile2,Sound,WavFile2,Condition,Image-id,conid,AOI1,AOI2,AOI3,AOI4,AOI1-id,AOI2-id,AOI3-id,AOI4-id,targetAOI,competitorAOI,rhymeAOI,distAOI,,,,
,,1,,F17_05,F17_05.bmp,be2,f2-be2.wav,SHHP,125.bmp,5,ga3,be2,rai4,fiu1,61,125,16,30,2,1,3,4,,,,
,,2,,F18_05,F18_05.bmp,ziu2,m1-ziu2.wav,SHHP,38.bmp,5,ri2,fe3,ziu2,rai4,1,29,38,84,3,2,1,4,,,,
,,3,,T08_02,T08_02.bmp,ga4,f2-ga4.wav,SHTI,82.bmp,2,ga4,ga3,be1,ra4,82,42,5,132,1,2,4,3,,,,
,,4,,F19_05,F19_05.bmp,kiu4,f1-kiu4.wav,SHHP,54.bmp,5,piu1,fi3,fai2,kiu4,19,2,13,54,4,3,1,2,,,,
,,5,,F20_05,F20_05.bmp,fi3,m2-fi3.wav,SHHP,56.bmp,5,biu1,fi3,giu2,ri4,24,56,7,20,2,1,4,3,,,,
,,6,,T09_03,T09_03.bmp,piu2,f1-piu2.wav,SLTP,71.bmp,3,me3,piu1,biu2,piu2,110,19,136,71,4,2,3,1,,,,
,,7,,F21_06,F21_06.bmp,fai3,f1-fai3.wav,SLHP,55.bmp,6,fai3,ra2,biu1,zi4,55,12,24,3,1,3,4,2,,,,
,,8,,F22_06,F22_06.bmp,me4,m2-me4.wav,SLHP,94.bmp,6,gi1,piu2,me4,ga3,31,26,94,42,3,2,1,4,,,,
,,9,,T01_01,T01_01.bmp,ra1,f2-ra1.wav,SHTP,91.bmp,1,fe4,ra1,ra2,ga1,99,91,12,128,2,3,4,1,,,,
,,10,,F23_05,F23_05.bmp,zi3,m1-zi3.wav,SLHP,98.bmp,5,zi3,pe2,fai1,fi4,98,51,135,129,1,2,3,4,,,,
,,11,,F24_05,F24_05.bmp,biu1,f2-biu1.wav,SLHP,24.bmp,5,be2,pe3,ri4,biu1,125,22,20,24,4,1,2,3,,,,
,,12,,T16_04,T16_04.bmp,pe1,f1-pe1.wav,SLTI,46.bmp,4,pe2,me1,pe1,biu4,68,40,46,111,3,1,2,4,,,,
,,13,,F25_11,F25_11.bmp,giu2,f1-giu2.wav,FILL,7.bmp,11,pia4,giu2,rai3,fe1,76,7,79,36,2,4,1,4,,,,
